City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,qamdo,31.1667,97.2333,2.34,76,39,1.99,CN,1715034446
317,melioratorov,57.2107,65.6077,10.21,50,0,4.0,RU,1715034448
318,wailua homesteads,22.0669,-159.378,27.24,75,20,7.72,US,1715034450
319,niafunke,15.9322,-3.9906,33.98,10,91,2.44,ML,1715034452
320,nouadhibou,20.931,-17.0347,18.99,82,86,6.69,MR,1715034454
321,umm kaddadah,13.6017,26.6876,28.73,14,0,5.98,SD,1715034456
322,hadibu,12.65,54.0333,29.39,75,71,2.56,YE,1715034458
323,biltine,14.5333,20.9167,31.35,12,0,2.83,TD,1715034461
324,krasnyy chikoy,50.3643,108.7512,9.35,60,28,1.42,RU,1715034258
325,murudeshwara,14.0943,74.4845,29.29,71,78,3.3,IN,1715034465
326,podporozh'ye,60.9112,34.1706,-1.61,84,79,0.51,RU,1715034467
327,san andres,12.5847,-81.7006,30.01,79,20,5.66,CO,1715034469
328,acapulco de juarez,16.8634,-99.8901,29.9,70,0,4.63,MX,1715034471
329,carnarvon,-24.8667,113.6333,19.38,59,0,7.48,AU,1715034473
330,babayevo,59.3936,35.9371,-3.23,68,3,2.01,RU,1715034475
331,lages,-27.8161,-50.3261,16.9,85,0,1.29,BR,1715034351
332,al artawiyah,26.5053,45.3444,24.82,18,1,2.87,SA,1715034480
333,penryn,50.1681,-5.1042,12.37,92,100,4.12,GB,1715034482
334,naze,28.3667,129.4833,20.51,86,100,4.6,JP,1715034484
335,tazovsky,67.4667,78.7,-14.33,98,95,4.01,RU,1715034229
336,hwange,-18.3693,26.5019,20.55,55,0,0.55,ZW,1715034488
337,posse,-14.0931,-46.3694,25.77,54,97,1.89,BR,1715034490
338,cadale,2.7603,46.3222,28.18,79,100,7.06,SO,1715034492
339,dabakala,8.3667,-4.4333,23.44,90,100,0.6,CI,1715034494
340,wenchang,30.904,118.4887,18.0,95,99,0.75,CN,1715034496
341,kapoeta,4.7717,33.5903,27.08,61,99,3.99,SS,1715034499
342,afaahiti,-17.75,-149.2833,28.93,85,69,10.89,PF,1715034206
343,pacific grove,36.6177,-121.9166,20.21,66,0,6.17,US,1715034503
344,san francisco,37.7749,-122.4194,21.17,66,40,7.72,US,1715034290
345,pucheng,27.9233,118.5333,17.7,89,100,0.32,CN,1715034507
346,capitao poco,-1.7464,-47.0594,24.75,96,100,2.14,BR,1715034509
347,enewetak,11.3474,162.3373,27.96,77,98,8.64,MH,1715034235
348,peace river,56.2501,-117.286,18.17,39,100,1.54,CA,1715034292
349,auki,-8.7676,160.7034,27.84,87,100,1.7,SB,1715034518
350,black point,-34.6187,137.8972,14.61,69,0,3.41,AU,1715034253
351,kharp,66.8014,65.8081,-19.05,84,24,2.73,RU,1715034522
352,rakops,-21.0167,24.3333,22.01,29,0,1.8,BW,1715034524
353,morehead,37.2711,-87.1764,25.44,73,100,2.06,US,1715034526
354,necochea,-38.5473,-58.7368,11.22,71,0,4.29,AR,1715034388
355,revda,56.801,59.9303,2.44,97,93,4.24,RU,1715034530
356,hola,51.5377,23.1902,13.1,92,100,2.26,PL,1715034532
357,sarandi,-23.4436,-51.8739,25.75,57,0,3.6,BR,1715034276
358,da nang,16.0678,108.2208,26.99,89,40,1.54,VN,1715034537
359,fortuna,40.5982,-124.1573,15.52,87,100,3.09,US,1715034539
360,guiuan,11.0333,125.7247,28.05,75,64,2.31,PH,1715034541
